s3BucketName,date,spaceUsed
schminkel-payload-financials-dev,2026-02-21,2758654
schminkel-payload-financials-local,2026-02-21,2778017
schminkel-payload-lightgallery,2026-02-21,405906771
schminkel-payload-lightgallery-dev,2026-02-21,482610112
schminkel-photo-gallery,2026-02-21,119778256
schminkel-photo-net,2026-02-21,80255909
schminkel-photos,2026-02-21,1766315955
schminkel-public,2026-02-21,2005363
schminkel-test-lambda-bucket,2026-02-21,43293554
schminkel-transcribe-audio-input-bucket,2026-02-21,15690254
schminkel-transcribe-audio-output-bucket,2026-02-21,178578
schminkel-transcription,2026-02-21,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-21,1023336
all,2026-02-21,23543040365
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-22,19983504
capgemini-s3,2026-02-22,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-22,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-22,86076714
coolify-raspi5-02,2026-02-22,0
coolify-scraper-backup,2026-02-22,6505591
docker-volume-backup-coolify-6,2026-02-22,4365949135
docker-volume-backup-open-webui-raspi2,2026-02-22,3404287626
docker-volume-backup-owncloud-raspi2,2026-02-22,1086373535
docker-volume-backup-paperless-raspi2,2026-02-22,60517928
nextcloud.xtra.tools,2026-02-22,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-22,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-22,1002551
schminkel-chatbot-files,2026-02-22,30904152
schminkel-comfyui,2026-02-22,23213253
schminkel-coolify-116.203.89.76,2026-02-22,0
schminkel-coolify-5.75.142.123,2026-02-22,21259489
schminkel-coolify-91.99.8.91,2026-02-22,52560582
schminkel-coolify-94.130.56.167,2026-02-22,304330503
schminkel-de,2026-02-22,2117905930
schminkel-de-2026,2026-02-22,12151665
schminkel-de-backups,2026-02-22,4669335505
schminkel-digital,2026-02-22,19412748
schminkel-dynamodb-exports,2026-02-22,5116
schminkel-email,2026-02-22,504263
schminkel-email-plaintext,2026-02-22,29155
